scenario, sigma, T, run, loss, error
Cube,0.05,50,0,0.387952717835,0.0
Cube,0.05,50,1,0.398088155995,0.0
Cube,0.05,50,2,0.381625784554,0.0
Cube,0.05,50,3,0.367511212886,0.0
Cube,0.05,50,4,0.407779818697,0.0
Cube,0.05,50,5,0.375748063837,0.0
Cube,0.05,50,6,0.37972384236,0.0
Cube,0.05,50,7,0.371173279463,0.0
Cube,0.05,50,8,0.38438163296,0.0
Cube,0.05,50,9,0.379994788583,0.0
Cube,0.05,50,10,0.371022124701,0.0
Cube,0.05,50,11,0.396041414784,0.0
Cube,0.05,50,12,0.395930922252,0.0
Cube,0.05,50,13,0.369200011048,0.0
Cube,0.05,50,14,0.376702765221,0.0
Cube,0.05,50,15,0.378201872008,0.0
Cube,0.05,50,16,0.370600924806,0.0
Cube,0.05,50,17,0.375254061449,0.0
Cube,0.05,50,18,0.374710388173,0.0
Cube,0.05,50,19,0.379669230235,0.0
Cube,0.05,50,20,0.391670504109,0.0
Cube,0.05,50,21,0.376111090975,0.0
Cube,0.05,50,22,0.374614526889,0.0
Cube,0.05,50,23,0.381045037471,0.0
Cube,0.05,50,24,0.409021729998,0.0
Cube,0.05,50,25,0.370950071713,0.0
Cube,0.05,50,26,0.375670335968,0.0
Cube,0.05,50,27,0.37463267294,0.0
Cube,0.05,50,28,0.409234307143,0.0
Cube,0.05,50,29,0.372757186173,0.0
Cube,0.05,100,0,0.353568524079,0.0
Cube,0.05,100,1,0.354311964866,0.0
Cube,0.05,100,2,0.369535308759,0.0
Cube,0.05,100,3,0.352639345845,0.0
Cube,0.05,100,4,0.369068125543,0.0
Cube,0.05,100,5,0.354221220608,0.0
Cube,0.05,100,6,0.362484289599,0.0
Cube,0.05,100,7,0.364209946012,0.0
Cube,0.05,100,8,0.396297036122,0.0
Cube,0.05,100,9,0.354195465648,0.0
Cube,0.05,100,10,0.365338819164,0.0
Cube,0.05,100,11,0.360821119811,0.0
Cube,0.05,100,12,0.352574371031,0.0
Cube,0.05,100,13,0.394226032772,0.0
Cube,0.05,100,14,0.382709820633,0.0
Cube,0.05,100,15,0.355748640512,0.0
Cube,0.05,100,16,0.354238891463,0.0
Cube,0.05,100,17,0.359504983662,0.0
Cube,0.05,100,18,0.362142962134,0.0
Cube,0.05,100,19,0.354454813969,0.0
Cube,0.05,100,20,0.352228194777,0.0
Cube,0.05,100,21,0.359367557828,0.0
Cube,0.05,100,22,0.35868244464,0.0
Cube,0.05,100,23,0.353048071858,0.0
Cube,0.05,100,24,0.356198713942,0.0
Cube,0.05,100,25,0.354285113978,0.0
Cube,0.05,100,26,0.35893967038,0.0
Cube,0.05,100,27,0.361913399363,0.0
Cube,0.05,100,28,0.353523530435,0.0
Cube,0.05,100,29,0.353965930156,0.0
Cube,0.05,500,0,0.330405994152,0.0
Cube,0.05,500,1,0.3305338595,0.0
Cube,0.05,500,2,0.33282835835,0.0
Cube,0.05,500,3,0.331146212847,0.0
Cube,0.05,500,4,0.333489913712,0.0
Cube,0.05,500,5,0.330699425018,0.0
Cube,0.05,500,6,0.332259298471,0.0
Cube,0.05,500,7,0.330260375539,0.0
Cube,0.05,500,8,0.331726798818,0.0
Cube,0.05,500,9,0.332038265976,0.0
Cube,0.05,500,10,0.330597476095,0.0
Cube,0.05,500,11,0.332347736494,0.0
Cube,0.05,500,12,0.32991629558,0.0
Cube,0.05,500,13,0.332267019818,0.0
Cube,0.05,500,14,0.343196805317,0.0
Cube,0.05,500,15,0.333901010712,0.0
Cube,0.05,500,16,0.330985567211,0.0
Cube,0.05,500,17,0.330409339239,0.0
Cube,0.05,500,18,0.334916375881,0.0
Cube,0.05,500,19,0.332871676586,0.0
Cube,0.05,500,20,0.330981385365,0.0
Cube,0.05,500,21,0.331010214663,0.0
Cube,0.05,500,22,0.333479869066,0.0
Cube,0.05,500,23,0.330925240949,0.0
Cube,0.05,500,24,0.342159233097,0.0
Cube,0.05,500,25,0.330076457482,0.0
Cube,0.05,500,26,0.331030606242,0.0
Cube,0.05,500,27,0.333769935578,0.0
Cube,0.05,500,28,0.333345885066,0.0
Cube,0.05,500,29,0.33211075078,0.0
Cube,0.05,1000,0,0.325390747987,0.0
Cube,0.05,1000,1,0.325187124214,0.0
Cube,0.05,1000,2,0.326910761739,0.0
Cube,0.05,1000,3,0.332056193907,0.0
Cube,0.05,1000,4,0.326373832528,0.0
Cube,0.05,1000,5,0.325754770241,0.0
Cube,0.05,1000,6,0.334222591213,0.0
Cube,0.05,1000,7,0.3262414564,0.0
Cube,0.05,1000,8,0.326010311936,0.0
Cube,0.05,1000,9,0.335838951994,0.0
Cube,0.05,1000,10,0.326073590655,0.0
Cube,0.05,1000,11,0.325424113517,0.0
Cube,0.05,1000,12,0.325449697243,0.0
Cube,0.05,1000,13,0.327926478013,0.0
Cube,0.05,1000,14,0.325941257201,0.0
Cube,0.05,1000,15,0.327376495728,0.0
Cube,0.05,1000,16,0.325344637032,0.0
Cube,0.05,1000,17,0.32502817751,0.0
Cube,0.05,1000,18,0.328375718303,0.0
Cube,0.05,1000,19,0.328213051179,0.0
Cube,0.05,1000,20,0.325764061459,0.0
Cube,0.05,1000,21,0.326922691203,0.0
Cube,0.05,1000,22,0.325177120348,0.0
Cube,0.05,1000,23,0.32621109082,0.0
Cube,0.05,1000,24,0.325572693187,0.0
Cube,0.05,1000,25,0.326454066453,0.0
Cube,0.05,1000,26,0.327155632247,0.0
Cube,0.05,1000,27,0.326806108038,0.0
Cube,0.05,1000,28,0.329501296867,0.0
Cube,0.05,1000,29,0.325438630897,0.0
Cube,0.3,50,0,0.425662688556,0.1275
Cube,0.3,50,1,0.432945080774,0.115
Cube,0.3,50,2,0.42640525646,0.075
Cube,0.3,50,3,0.408952307369,0.0875
Cube,0.3,50,4,0.42586614671,0.115
Cube,0.3,50,5,0.432509291248,0.155
Cube,0.3,50,6,0.455326974479,0.1775
Cube,0.3,50,7,0.424053330609,0.0725
Cube,0.3,50,8,0.422889323966,0.1175
Cube,0.3,50,9,0.447029682269,0.1325
Cube,0.3,50,10,0.413833455218,0.08
Cube,0.3,50,11,0.415991866783,0.0825
Cube,0.3,50,12,0.395107256854,0.0925
Cube,0.3,50,13,0.402121055845,0.0925
Cube,0.3,50,14,0.421220608109,0.1375
Cube,0.3,50,15,0.416526926611,0.1225
Cube,0.3,50,16,0.405817212004,0.0825
Cube,0.3,50,17,0.458491283366,0.15
Cube,0.3,50,18,0.428428001408,0.085
Cube,0.3,50,19,0.406052494795,0.13
Cube,0.3,50,20,0.396577203687,0.0775
Cube,0.3,50,21,0.427655609856,0.075
Cube,0.3,50,22,0.417410921283,0.0775
Cube,0.3,50,23,0.420084959798,0.0875
Cube,0.3,50,24,0.40983907063,0.0825
Cube,0.3,50,25,0.398746340058,0.075
Cube,0.3,50,26,0.411693310761,0.095
Cube,0.3,50,27,0.410022301568,0.1175
Cube,0.3,50,28,0.407033193056,0.0975
Cube,0.3,50,29,0.431704257227,0.095
Cube,0.3,100,0,0.385546608875,0.075
Cube,0.3,100,1,0.408085729648,0.12
Cube,0.3,100,2,0.38877338936,0.0725
Cube,0.3,100,3,0.388859582276,0.0825
Cube,0.3,100,4,0.383146627642,0.07
Cube,0.3,100,5,0.417852674409,0.14
Cube,0.3,100,6,0.397734123832,0.0725
Cube,0.3,100,7,0.392115650808,0.08
Cube,0.3,100,8,0.402908567043,0.075
Cube,0.3,100,9,0.388581264573,0.0775
Cube,0.3,100,10,0.387514482501,0.08
Cube,0.3,100,11,0.397121863304,0.08
Cube,0.3,100,12,0.393993727278,0.0725
Cube,0.3,100,13,0.410665787338,0.125
Cube,0.3,100,14,0.396572466831,0.0925
Cube,0.3,100,15,0.400299822126,0.09
Cube,0.3,100,16,0.381406425602,0.0775
Cube,0.3,100,17,0.406090467922,0.1225
Cube,0.3,100,18,0.394323098845,0.0725
Cube,0.3,100,19,0.391635622557,0.075
Cube,0.3,100,20,0.395423916357,0.0825
Cube,0.3,100,21,0.405130665771,0.1075
Cube,0.3,100,22,0.420205249215,0.1525
Cube,0.3,100,23,0.399757244837,0.1275
Cube,0.3,100,24,0.401023949921,0.105
Cube,0.3,100,25,0.398957325046,0.0825
Cube,0.3,100,26,0.39240457454,0.0825
Cube,0.3,100,27,0.38873053995,0.0825
Cube,0.3,100,28,0.403841159189,0.085
Cube,0.3,100,29,0.39492521437,0.0725
Cube,0.3,500,0,0.37242132101,0.08
Cube,0.3,500,1,0.372417066781,0.0775
Cube,0.3,500,2,0.368564676125,0.0775
Cube,0.3,500,3,0.371995650799,0.0775
Cube,0.3,500,4,0.37226071595,0.0775
Cube,0.3,500,5,0.371443183156,0.0775
Cube,0.3,500,6,0.370094419525,0.08
Cube,0.3,500,7,0.370915683099,0.0725
Cube,0.3,500,8,0.369077996658,0.07
Cube,0.3,500,9,0.370397794779,0.08
Cube,0.3,500,10,0.368217642255,0.075
Cube,0.3,500,11,0.370035466834,0.075
Cube,0.3,500,12,0.370324451057,0.0775
Cube,0.3,500,13,0.373352858782,0.0925
Cube,0.3,500,14,0.37177741246,0.085
Cube,0.3,500,15,0.37572937256,0.0875
Cube,0.3,500,16,0.368760293137,0.0725
Cube,0.3,500,17,0.370468120087,0.0775
Cube,0.3,500,18,0.373290124145,0.0725
Cube,0.3,500,19,0.378975419056,0.105
Cube,0.3,500,20,0.369834696686,0.075
Cube,0.3,500,21,0.370209010913,0.07
Cube,0.3,500,22,0.381504335749,0.1075
Cube,0.3,500,23,0.368030252321,0.0725
Cube,0.3,500,24,0.371749275899,0.075
Cube,0.3,500,25,0.373264049132,0.0925
Cube,0.3,500,26,0.370301784053,0.0725
Cube,0.3,500,27,0.369834406163,0.0725
Cube,0.3,500,28,0.369868803135,0.07
Cube,0.3,500,29,0.372601597574,0.0925
Cube,0.3,1000,0,0.367197481623,0.0775
Cube,0.3,1000,1,0.365344565356,0.08
Cube,0.3,1000,2,0.36741321653,0.0725
Cube,0.3,1000,3,0.366296526639,0.075
Cube,0.3,1000,4,0.364613625687,0.075
Cube,0.3,1000,5,0.36547924461,0.0725
Cube,0.3,1000,6,0.369534127057,0.075
Cube,0.3,1000,7,0.365255133461,0.075
Cube,0.3,1000,8,0.364447456427,0.0775
Cube,0.3,1000,9,0.366033589664,0.0725
Cube,0.3,1000,10,0.368382013338,0.08
Cube,0.3,1000,11,0.36547170092,0.0725
Cube,0.3,1000,12,0.365261111966,0.0725
Cube,0.3,1000,13,0.365610838747,0.0775
Cube,0.3,1000,14,0.365081147786,0.0725
Cube,0.3,1000,15,0.368125434195,0.0725
Cube,0.3,1000,16,0.365630728358,0.075
Cube,0.3,1000,17,0.365282943178,0.07
Cube,0.3,1000,18,0.365758667513,0.075
Cube,0.3,1000,19,0.364744378627,0.07
Cube,0.3,1000,20,0.36592445556,0.08
Cube,0.3,1000,21,0.368616744898,0.0775
Cube,0.3,1000,22,0.366068793577,0.0775
Cube,0.3,1000,23,0.364941958296,0.08
Cube,0.3,1000,24,0.364917623479,0.0775
Cube,0.3,1000,25,0.363911013634,0.075
Cube,0.3,1000,26,0.367747291337,0.08
Cube,0.3,1000,27,0.365804137054,0.07
Cube,0.3,1000,28,0.365413318699,0.0725
Cube,0.3,1000,29,0.368415243516,0.08
Ball,0.05,50,0,0.523241168663,0.0
Ball,0.05,50,1,0.516948812433,0.0
Ball,0.05,50,2,0.518199296365,0.0
Ball,0.05,50,3,0.533219130916,0.015
Ball,0.05,50,4,0.525592826766,0.0
Ball,0.05,50,5,0.516484965411,0.0
Ball,0.05,50,6,0.533122361457,0.01
Ball,0.05,50,7,0.525545425164,0.0
Ball,0.05,50,8,0.532693846081,0.0
Ball,0.05,50,9,0.5223681043,0.0
Ball,0.05,50,10,0.519970247479,0.0
Ball,0.05,50,11,0.522661143533,0.0
Ball,0.05,50,12,0.518418470816,0.0
Ball,0.05,50,13,0.520227675187,0.0
Ball,0.05,50,14,0.522453894747,0.0
Ball,0.05,50,15,0.517516445851,0.0
Ball,0.05,50,16,0.550514202695,0.465
Ball,0.05,50,17,0.524879360241,0.0
Ball,0.05,50,18,0.521144360593,0.0
Ball,0.05,50,19,0.531691599335,0.0
Ball,0.05,50,20,0.526799439143,0.0
Ball,0.05,50,21,0.523210562331,0.0
Ball,0.05,50,22,0.522381694756,0.0
Ball,0.05,50,23,0.52207496302,0.0
Ball,0.05,50,24,0.524603529284,0.0
Ball,0.05,50,25,0.52285005969,0.0
Ball,0.05,50,26,0.530879128798,0.0
Ball,0.05,50,27,0.526074479066,0.0
Ball,0.05,50,28,0.521626436154,0.0
Ball,0.05,50,29,0.537454779386,0.0
Ball,0.05,100,0,0.513301323049,0.0
Ball,0.05,100,1,0.515510894063,0.0
Ball,0.05,100,2,0.518137112795,0.0
Ball,0.05,100,3,0.511701483494,0.0
Ball,0.05,100,4,0.511951242755,0.0
Ball,0.05,100,5,0.516383532699,0.0
Ball,0.05,100,6,0.514008550331,0.0
Ball,0.05,100,7,0.514371654781,0.0
Ball,0.05,100,8,0.523005982618,0.0
Ball,0.05,100,9,0.523557242007,0.0
Ball,0.05,100,10,0.513478653231,0.0
Ball,0.05,100,11,0.513096232834,0.0
Ball,0.05,100,12,0.519661693582,0.0
Ball,0.05,100,13,0.520729744077,0.0
Ball,0.05,100,14,0.532232379635,0.0025
Ball,0.05,100,15,0.512766510955,0.0
Ball,0.05,100,16,0.512713654312,0.0
Ball,0.05,100,17,0.515863708515,0.0
Ball,0.05,100,18,0.512683660522,0.0
Ball,0.05,100,19,0.513087569845,0.0
Ball,0.05,100,20,0.519077039681,0.0
Ball,0.05,100,21,0.543787929326,0.11
Ball,0.05,100,22,0.531110235956,0.0
Ball,0.05,100,23,0.517402073469,0.0
Ball,0.05,100,24,0.514555378823,0.0
Ball,0.05,100,25,0.529248404627,0.0
Ball,0.05,100,26,0.514913458703,0.0
Ball,0.05,100,27,0.516754152941,0.0
Ball,0.05,100,28,0.519972705738,0.0
Ball,0.05,100,29,0.517457419522,0.0
Ball,0.05,500,0,0.503759775415,0.0
Ball,0.05,500,1,0.505144906961,0.0
Ball,0.05,500,2,0.504412924717,0.0
Ball,0.05,500,3,0.502910959283,0.0
Ball,0.05,500,4,0.506859568912,0.0
Ball,0.05,500,5,0.503753284706,0.0
Ball,0.05,500,6,0.504808949461,0.0
Ball,0.05,500,7,0.506750693901,0.0
Ball,0.05,500,8,0.505476952376,0.0
Ball,0.05,500,9,0.503016924819,0.0
Ball,0.05,500,10,0.504281774867,0.0
Ball,0.05,500,11,0.507091861895,0.0
Ball,0.05,500,12,0.50305502526,0.0
Ball,0.05,500,13,0.503425655347,0.0
Ball,0.05,500,14,0.505531193794,0.0
Ball,0.05,500,15,0.506463004657,0.0
Ball,0.05,500,16,0.504554412737,0.0
Ball,0.05,500,17,0.503635666313,0.0
Ball,0.05,500,18,0.503992140949,0.0
Ball,0.05,500,19,0.505117263282,0.0
Ball,0.05,500,20,0.503331374495,0.0
Ball,0.05,500,21,0.501977248433,0.0
Ball,0.05,500,22,0.504642077397,0.0
Ball,0.05,500,23,0.50351343505,0.0
Ball,0.05,500,24,0.507089801395,0.0
Ball,0.05,500,25,0.503182184699,0.0
Ball,0.05,500,26,0.505108400136,0.0
Ball,0.05,500,27,0.505358532151,0.0
Ball,0.05,500,28,0.506905346735,0.0
Ball,0.05,500,29,0.506497203848,0.0
Ball,0.05,1000,0,0.501356834984,0.0
Ball,0.05,1000,1,0.501292574902,0.0
Ball,0.05,1000,2,0.500715326257,0.0
Ball,0.05,1000,3,0.503730850343,0.0
Ball,0.05,1000,4,0.50125869539,0.0
Ball,0.05,1000,5,0.501183764222,0.0
Ball,0.05,1000,6,0.500728379543,0.0
Ball,0.05,1000,7,0.500708976167,0.0
Ball,0.05,1000,8,0.50103644123,0.0
Ball,0.05,1000,9,0.500592883734,0.0
Ball,0.05,1000,10,0.502744225069,0.0
Ball,0.05,1000,11,0.50321617726,0.0
Ball,0.05,1000,12,0.5010460144,0.0
Ball,0.05,1000,13,0.501387319045,0.0
Ball,0.05,1000,14,0.503243417959,0.0
Ball,0.05,1000,15,0.502127358125,0.0
Ball,0.05,1000,16,0.501138411879,0.0
Ball,0.05,1000,17,0.500887356456,0.0
Ball,0.05,1000,18,0.501249345091,0.0
Ball,0.05,1000,19,0.503565673398,0.0
Ball,0.05,1000,20,0.501608458829,0.0
Ball,0.05,1000,21,0.50330837957,0.0
Ball,0.05,1000,22,0.501477420268,0.0
Ball,0.05,1000,23,0.502783982549,0.0
Ball,0.05,1000,24,0.501952558278,0.0
Ball,0.05,1000,25,0.501290059176,0.0
Ball,0.05,1000,26,0.501559472732,0.0
Ball,0.05,1000,27,0.50083371955,0.0
Ball,0.05,1000,28,0.502393419202,0.0
Ball,0.05,1000,29,0.499952321942,0.0
Ball,0.3,50,0,0.545227435741,0.05
Ball,0.3,50,1,0.545759643785,0.0525
Ball,0.3,50,2,0.546743244634,0.0825
Ball,0.3,50,3,0.549405147029,0.1175
Ball,0.3,50,4,0.5472798723,0.11
Ball,0.3,50,5,0.538560876963,0.0975
Ball,0.3,50,6,0.541418943708,0.0675
Ball,0.3,50,7,0.544222454839,0.0525
Ball,0.3,50,8,0.549149487719,0.055
Ball,0.3,50,9,0.543302436115,0.0525
Ball,0.3,50,10,0.572784757511,0.3775
Ball,0.3,50,11,0.55733807229,0.155
Ball,0.3,50,12,0.551233173245,0.14
Ball,0.3,50,13,0.553140652708,0.0475
Ball,0.3,50,14,0.550409446597,0.14
Ball,0.3,50,15,0.552254638636,0.065
Ball,0.3,50,16,0.568313452342,0.1875
Ball,0.3,50,17,0.545907390799,0.055
Ball,0.3,50,18,0.54596199254,0.0475
Ball,0.3,50,19,0.550856653525,0.1425
Ball,0.3,50,20,0.540408397002,0.05
Ball,0.3,50,21,0.548198529243,0.0625
Ball,0.3,50,22,0.568507377677,0.2
Ball,0.3,50,23,0.555754692557,0.2175
Ball,0.3,50,24,0.547280827913,0.0725
Ball,0.3,50,25,0.549604045746,0.055
Ball,0.3,50,26,0.542275063634,0.1175
Ball,0.3,50,27,0.544566539255,0.075
Ball,0.3,50,28,0.559572536462,0.1175
Ball,0.3,50,29,0.549515819631,0.135
Ball,0.3,100,0,0.537137129106,0.0575
Ball,0.3,100,1,0.538337295972,0.0825
Ball,0.3,100,2,0.538497033398,0.095
Ball,0.3,100,3,0.54338266467,0.05
Ball,0.3,100,4,0.54010205956,0.0975
Ball,0.3,100,5,0.542824069,0.06
Ball,0.3,100,6,0.530745487027,0.055
Ball,0.3,100,7,0.531545041574,0.065
Ball,0.3,100,8,0.54033730888,0.125
Ball,0.3,100,9,0.541495743475,0.045
Ball,0.3,100,10,0.546235407044,0.135
Ball,0.3,100,11,0.537663285407,0.0525
Ball,0.3,100,12,0.538856157435,0.0525
Ball,0.3,100,13,0.527798357319,0.08
Ball,0.3,100,14,0.535474422497,0.065
Ball,0.3,100,15,0.533502018087,0.0825
Ball,0.3,100,16,0.547432903331,0.115
Ball,0.3,100,17,0.540829363968,0.055
Ball,0.3,100,18,0.53810351823,0.1025
Ball,0.3,100,19,0.530980764273,0.06
Ball,0.3,100,20,0.536620658569,0.05
Ball,0.3,100,21,0.537150920637,0.05
Ball,0.3,100,22,0.564932103478,0.27
Ball,0.3,100,23,0.534673599543,0.05
Ball,0.3,100,24,0.543693292302,0.05
Ball,0.3,100,25,0.537744349965,0.085
Ball,0.3,100,26,0.531677603666,0.0875
Ball,0.3,100,27,0.543065906127,0.05
Ball,0.3,100,28,0.549592325431,0.075
Ball,0.3,100,29,0.53768065478,0.1025
Ball,0.3,500,0,0.521531787447,0.0475
Ball,0.3,500,1,0.522834654574,0.0525
Ball,0.3,500,2,0.52436415786,0.0475
Ball,0.3,500,3,0.525422453537,0.0475
Ball,0.3,500,4,0.524347621479,0.05
Ball,0.3,500,5,0.523872500621,0.05
Ball,0.3,500,6,0.526277984792,0.0425
Ball,0.3,500,7,0.525154714701,0.05
Ball,0.3,500,8,0.52448629125,0.0525
Ball,0.3,500,9,0.529883950758,0.065
Ball,0.3,500,10,0.522435984093,0.045
Ball,0.3,500,11,0.52471004052,0.05
Ball,0.3,500,12,0.530601492416,0.07
Ball,0.3,500,13,0.523547408452,0.05
Ball,0.3,500,14,0.523740869503,0.0475
Ball,0.3,500,15,0.524329430641,0.05
Ball,0.3,500,16,0.524421790084,0.0525
Ball,0.3,500,17,0.522692622782,0.065
Ball,0.3,500,18,0.524599286066,0.045
Ball,0.3,500,19,0.522393902432,0.0475
Ball,0.3,500,20,0.521755808946,0.045
Ball,0.3,500,21,0.52593823139,0.05
Ball,0.3,500,22,0.523221082802,0.0675
Ball,0.3,500,23,0.523022034734,0.05
Ball,0.3,500,24,0.523281318342,0.0525
Ball,0.3,500,25,0.523880122921,0.0525
Ball,0.3,500,26,0.52039744599,0.05
Ball,0.3,500,27,0.524623623232,0.0475
Ball,0.3,500,28,0.525465354313,0.0475
Ball,0.3,500,29,0.525790684641,0.065
Ball,0.3,1000,0,0.519578632997,0.055
Ball,0.3,1000,1,0.521341158308,0.045
Ball,0.3,1000,2,0.521896605763,0.05
Ball,0.3,1000,3,0.52455244061,0.0525
Ball,0.3,1000,4,0.519166998845,0.045
Ball,0.3,1000,5,0.522044727329,0.05
Ball,0.3,1000,6,0.5238886813,0.06
Ball,0.3,1000,7,0.522658872667,0.0525
Ball,0.3,1000,8,0.522695223939,0.05
Ball,0.3,1000,9,0.519686679662,0.0425
Ball,0.3,1000,10,0.523281216216,0.0525
Ball,0.3,1000,11,0.519696825916,0.0375
Ball,0.3,1000,12,0.522290008525,0.045
Ball,0.3,1000,13,0.523559073218,0.05
Ball,0.3,1000,14,0.521474888371,0.0475
Ball,0.3,1000,15,0.523017142237,0.0525
Ball,0.3,1000,16,0.519191011842,0.0475
Ball,0.3,1000,17,0.520748112335,0.05
Ball,0.3,1000,18,0.519821327327,0.0475
Ball,0.3,1000,19,0.521145546796,0.045
Ball,0.3,1000,20,0.521997771119,0.0475
Ball,0.3,1000,21,0.521706422182,0.0425
Ball,0.3,1000,22,0.519584996583,0.0475
Ball,0.3,1000,23,0.520648779054,0.0475
Ball,0.3,1000,24,0.521793696447,0.0525
Ball,0.3,1000,25,0.518718446595,0.05
Ball,0.3,1000,26,0.522461568119,0.055
Ball,0.3,1000,27,0.521714730728,0.045
Ball,0.3,1000,28,0.52318023914,0.05
Ball,0.3,1000,29,0.51950380128,0.05
